doc_id,doc_date,doc_source,doc_title
3226,2016-09-16,PowerLine,"No, Incomes Didn’t Soar In 2015"
3918,2016-09-19,PowerLine,"Two hours of rural driving, not one Clinton sign"
3919,2016-09-19,PowerLine,How to “root out jihad from within”
3920,2016-09-19,PowerLine,"Security guards, Minnesota style"
3921,2016-09-19,PowerLine,The atrocity in St. Cloud
3922,2016-09-19,PowerLine,"Stronger unread, WaPo edition"
3993,2016-09-19,Politico Magazine,Birther Nation: Alive and Well
3994,2016-09-19,Politico Magazine,Bernie’s Gambit in Ohio
3995,2016-09-19,Politico Magazine,Birtherism Isn’t Going Away
3996,2016-09-19,Politico Magazine,How Mosul’s Liberation Could Lead to Another Iraqi Civil War
3997,2016-09-19,Politico Magazine,Trains Built Roanoke. Science Saved It.
3998,2016-09-19,Politico Magazine,What’s Really Ailing Hillary
3999,2016-09-19,Politico Magazine,Monuments to the Battle for the New South
4000,2016-09-19,Politico Magazine,How the Democrats Lost Touch on Trade
4001,2016-09-19,Politico Magazine,What’s With Hillary’s Woman Problem?
4002,2016-09-19,Politico Magazine,‘We’re the Only Plane in the Sky’
4003,2016-09-19,Politico Magazine,What Trump and Clinton Did on 9/11
4004,2016-09-19,Politico Magazine,Hillary’s Risky ‘Deplorables’ Strategy
4005,2016-09-19,Politico Magazine,How Western Virginia Tackled the Rural Health Problem
4589,2016-09-21,PowerLine,Obama bestrides the narrow world
4590,2016-09-21,PowerLine,At the birth of birtherism
4591,2016-09-21,PowerLine,“Minnesota man” strikes in St. Cloud
4592,2016-09-21,PowerLine,Charlie Crist vouches for Hillary’s honesty; hilarity ensues
4593,2016-09-21,PowerLine,"For the House, Mia Love"
4594,2016-09-21,Politico Magazine,How Hillary’s Very Bad September Could Be Very Good for Her in November
4595,2016-09-21,Politico Magazine,Lindsey Graham’s Mind-Expanding Pot Journey
4596,2016-09-21,Politico Magazine,Barack and Bibi—Goodbye to All That?
4597,2016-09-21,Politico Magazine,Was the Terror Coverage More Explosive Than the Bombs?
4598,2016-09-21,Politico Magazine,Millennials Go Mild for Hillary
4599,2016-09-21,Politico Magazine,"Take It from a Rockefeller (Republican), We Can Revive the GOP"
4869,2016-09-21,Politico Magazine,I Was RFK’s Speechwriter. Now I’m Voting for Trump. Here’s Why.
4870,2016-09-21,Politico Magazine,Trump’s Guide to Winning Through Gaffes
4947,2016-09-21,PowerLine,More Obama-Kerry disgrace in Syria
4948,2016-09-21,PowerLine,Intense violence in Charlotte follows police shooting
4949,2016-09-21,PowerLine,Today’s Hot Reads
5153,2016-09-26,PowerLine,"Academic Absurdity of the Week, Pumpkin Spice Edition"
5154,2016-09-26,PowerLine,The Democrats Are Worried
5155,2016-09-26,PowerLine,Obama’s Syria policy explained
5156,2016-09-26,PowerLine,Don’t Look Now But. . .
5157,2016-09-26,PowerLine,Bibi calls on Trump and Clinton
5428,2016-09-27,PowerLine,Observations on Tonight’s Debate
5429,2016-09-27,PowerLine,Thoughts on an unpleasant evening
5430,2016-09-27,PowerLine,Follow Tonight’s Debate Live With John Hinderaker from the Pourhouse (YouTube Live!)
5431,2016-09-27,PowerLine,Debates Then and Now
5432,2016-09-27,PowerLine,Join Us For Tonight’s Debate
5522,2016-09-29,Politico Magazine,"If Trump Disputes the Election, We Have No Good Way Out"
5523,2016-09-29,Politico Magazine,The Myth of Disproportionate Media Coverage
5524,2016-09-29,Politico Magazine,The Foolproof Way To Get Congress To Do Its Job
5525,2016-09-29,Politico Magazine,The Flimsy Case Against No-First-Use of Nuclear Weapons
5526,2016-09-29,Politico Magazine,Trump’s High-Energy War on American Politics
5527,2016-09-29,Politico Magazine,Why a Republican Might Win Bernie’s Home State
5528,2016-09-29,Politico Magazine,The 8 Biggest Unforced Errors in Debate History
5529,2016-09-29,Politico Magazine,Do We Really Need Debate Moderators?
5530,2016-09-29,Politico Magazine,False Claims to Watch Out for in Monday’s Debate
5531,2016-09-29,Politico Magazine,How to Win a Debate With Mind Games and Dirty Tricks
5532,2016-09-29,Politico Magazine,The TV Interview That Haunts Hillary Clinton
5533,2016-09-29,Politico Magazine,Who’s In Charge of America After a Catastrophe? Who Knows?
5847,2016-09-29,PowerLine,John Kerry threatens the Russians
5848,2016-09-29,PowerLine,Gowdy strikes a nerve
5849,2016-09-29,PowerLine,"Live from Council Bluffs, Trump on the stump"
5850,2016-09-29,PowerLine,Republican leaders set to rubber stamp Obama’s internet giveaway
5851,2016-09-29,PowerLine,The Issues Disappear from the Presidential Campaign
6117,2016-09-30,PowerLine,Coming Soon: A New Dark Age?
6118,2016-09-30,PowerLine,Trump’s Off-Message Detour Continues
6119,2016-09-30,PowerLine,Judge finds Brown failed to give due process to student accused of sexual assualt
6120,2016-09-30,PowerLine,Non-citizen murder suspect voted in three elections [UPDATED: status of shooter not clear]
6121,2016-09-30,PowerLine,"Barack Obama, Keeping Us Safe!"
6170,2016-09-30,Politico Magazine,What Trump Gets Wrong About Muslim Communities in America
6171,2016-09-30,Politico Magazine,"A Challenge For Obama’s Successor: Being a Casual, Cool President"
6172,2016-09-30,Politico Magazine,The Debate: What We Just Saw
6399,2016-10-01,PowerLine,Witnessing the Final Demise of “Mainstream” Media
6400,2016-10-01,PowerLine,Elect This Kid Class President King
6401,2016-10-01,PowerLine,Jerusalem? Where’s That?
6402,2016-10-01,PowerLine,Does Trump Really Want to Win?
6403,2016-10-01,PowerLine,Detroit newspaper endorses Gary Johnson
6497,2016-10-01,Politico Magazine,What the FBI Files Reveal About Hillary Clinton’s Email Server
6498,2016-10-01,Politico Magazine,The Terrorists Drones Couldn’t Silence
6500,2016-10-01,Politico Magazine,Trump Bashing 101
6501,2016-10-01,Politico Magazine,Behind the Scenes of the First Presidential Debate
6830,2016-10-02,PowerLine,Mosby vs. Rawlings-Blake — a Baltimore food fight
6831,2016-10-02,PowerLine,Beware of bipartisan grandstanding
6832,2016-10-02,PowerLine,Hillary behind closed doors (2) [Updated]
6833,2016-10-02,PowerLine,Internet giveaway proceeds after court rejects suit to halt it
6834,2016-10-02,PowerLine,Hillary behind closed doors
6843,2016-10-02,Politico Magazine,Can the Club for Growth Survive Donald Trump?
6844,2016-10-02,Politico Magazine,Donald Trump’s Wild Night
6963,2016-10-02,PowerLine,Restatement on comments (rated R)
6964,2016-10-02,PowerLine,Sunday morning coming down
7075,2016-10-02,PowerLine,This day in baseball history — The Dodgers win pennant on final day
7076,2016-10-02,PowerLine,“Bombshell”: Trump Lost a Lot of Money In 1995 [Updated]
7097,2016-10-02,Politico Magazine,How Hostile Poll-Watchers Could Hand Pennsylvania to Trump
7098,2016-10-02,Politico Magazine,"William F. Buckley Was No Feminist, But He Was an (Unintentional) Ally"
7099,2016-10-02,Politico Magazine,"In a Time of Trump, Millennial Jews Awaken to Anti-Semitism"
7219,2016-10-04,Politico Magazine,Pence v. Kaine: Battle of the Normals
7220,2016-10-04,Politico Magazine,The Unexpected Importance of Clarence Thomas
7221,2016-10-04,Politico Magazine,A Taxing Lesson for Trump From 40 Years Ago
7222,2016-10-04,Politico Magazine,Trump Is Losing Educated GOP Women—and Splitting Up Families Along the Way
7223,2016-10-04,Politico Magazine,The Room Where George W. Bush Goes on Trial Every Night
7685,2016-10-07,PowerLine,Thoughts from the ammo line
7686,2016-10-07,PowerLine,This day and yesterday in baseball history
7687,2016-10-07,PowerLine,Guests Who Never Leave
7688,2016-10-07,PowerLine,The Universal End Point of Socialism
7689,2016-10-07,PowerLine,Chutzpah In Indiana
7690,2016-10-07,Politico Magazine,How Howard Stern Owned Donald Trump
7691,2016-10-07,Politico Magazine,Afghanistan 15 Years On: Obama’s Sorriest Legacy
7692,2016-10-07,Politico Magazine,15 October Surprises That Wreaked Havoc on Politics
7694,2016-10-07,Politico Magazine,The Debate We Should Have Gotten
7695,2016-10-07,Politico Magazine,Donald Trump Says He ‘Called’ the ’08 Crash. Here’s What Really Happened
7696,2016-10-07,Politico Magazine,Setting the Debate Stage
8084,2016-10-07,PowerLine,Our man in Hezbollah
8085,2016-10-07,PowerLine,Will she have to talk?
8086,2016-10-07,Politico Magazine,Where Donald Trump’s Keystone Dream May Die
8194,2016-10-08,PowerLine,We’ve Had About All the Genius We Can Stand
8195,2016-10-08,PowerLine,The three faces of Hillary
8196,2016-10-08,PowerLine,A word against Obamacare
8197,2016-10-08,PowerLine,Trump’s apology
8198,2016-10-08,PowerLine,The Week in Pictures: Creepy Clown Edition
8438,2016-10-10,Politico Magazine,America’s Therapists Are Worried About Trump’s Effect On Your Mental Health
8439,2016-10-10,Politico Magazine,Why Mike Pence Is No Savior
8440,2016-10-10,Politico Magazine,"Sex, Lies and Bill Clinton"
8441,2016-10-10,Politico Magazine,Why Donald Trump Can’t Back Down
8442,2016-10-10,Politico Magazine,Trump Gives Us a Glimpse of the Challenger Who Might Have Been
8443,2016-10-10,Politico Magazine,How Republicans Could Replace Trump Even if He Stays In
8444,2016-10-10,Politico Magazine,Is a Historic Hail Mary Possible for the GOP?
8445,2016-10-10,Politico Magazine,The Scene at Trump Tower: Gathering of the Diehards
8446,2016-10-10,Politico Magazine,Comeback or Train Wreck? Why the Town Hall Format Is So Perilous for Trump
8447,2016-10-10,Politico Magazine,Front-Row Seat at the Showdown
8526,2016-10-10,PowerLine,"The NFL rules in Washington, D.C."
8527,2016-10-10,PowerLine,Sucking the Life Out of Childhood
8528,2016-10-10,PowerLine,Obama Voter Fraud In Colorado
8529,2016-10-10,PowerLine,Academic Absurdity of the Week: The Pinnacle of Human Nature Denialism
8530,2016-10-10,PowerLine,Re-elect Ron Johnson
8893,2016-10-11,PowerLine,Media Alert
8894,2016-10-11,PowerLine,The P-Word Through History
8895,2016-10-11,PowerLine,And Now for Something Completely Different
8896,2016-10-11,PowerLine,How leaders talk
8897,2016-10-11,PowerLine,Michelle Obama declared Hillary unfit [updated]
8943,2016-10-11,Politico Magazine,"‘Mrs. G, He Said the P-Word!’"
8944,2016-10-11,Politico Magazine,The Man Behind the Tapes That Could Sink the Donald
9233,2016-10-13,Politico Magazine,The 7 Oddest Things Donald Trump Thinks
9235,2016-10-13,Politico Magazine,It’s Time to Release the Real History of the 1953 Iran Coup
9236,2016-10-13,Politico Magazine,Gore and Clinton Hold a Wonkfest
9237,2016-10-13,Politico Magazine,‘I Think He’s a Very Dangerous Man for the Next Three or Four Weeks’
9318,2016-10-13,PowerLine,Ron Johnson rallies in Wisconsin
9319,2016-10-13,PowerLine,Hillary to Restrict Second Amendment With Executive Orders?
9320,2016-10-13,PowerLine,The Moral Bankruptcy Race
9321,2016-10-13,PowerLine,“Stronger together” under Hillary Clinton?  I don’t think so
9322,2016-10-13,PowerLine,David Satter: Understanding Putin
9508,2016-10-14,Politico Magazine,A Century of AP Campaign Photos
9564,2016-10-14,PowerLine,The Liberal Media’s Perpetual Smear Campaign
9565,2016-10-14,PowerLine,Green Weenie of the Week: Eco-Firestarter
9566,2016-10-14,PowerLine,"Conservatives vote with their dollars, get results"
9567,2016-10-14,PowerLine,The Real Tom Steyer
9830,2016-10-15,Politico Magazine,Revenge of the White Working-Class Woman
9831,2016-10-15,Politico Magazine,Is 2016 a Watershed Moment for Women?
10116,2016-10-16,PowerLine,"Personal foul, shooting a jump shot"
10117,2016-10-16,PowerLine,Republican Headquarters in North Carolina Firebombed; Is Democrats’ Violent Rhetoric to Blame?
10118,2016-10-16,PowerLine,"Civil War on the Left, Part 29: Leo in Trouble"
10119,2016-10-16,PowerLine,Who’s Deplorable?
10120,2016-10-16,PowerLine,Analyze this
10202,2016-10-18,PowerLine,The Trump-Ryan fight is a good thing
10203,2016-10-18,PowerLine,Undercover Video Shows Democrats Plotting Violence at Trump Rallies
10204,2016-10-18,PowerLine,Here We Go Again
10205,2016-10-18,PowerLine,Today’s Happy Climate News!
10206,2016-10-18,PowerLine,The Lighter Side of Trump
10432,2016-10-19,Politico Magazine,Trump Looked Presidential—for About 30 Minutes
10433,2016-10-19,Politico Magazine,How to Tell When Trump and Clinton Are Lying Tonight
10434,2016-10-19,Politico Magazine,"In a Land of Bullies, Trump Looks Familiar"
10435,2016-10-19,Politico Magazine,Confessions of a Trump Fact-Checker
10436,2016-10-19,Politico Magazine,"Women Are Wavering in Trump County, USA"
10437,2016-10-19,Politico Magazine,What Michelle Obama Didn’t Say
10439,2016-10-19,Politico Magazine,In Praise of Abandoning Your Party
10440,2016-10-19,Politico Magazine,Why Trump Could Still Pull Off a Surprise
10441,2016-10-19,Politico Magazine,How Mike Flynn Became America’s Angriest General
10442,2016-10-19,Politico Magazine,The Inequality Fight Dividing Hillary Clinton’s Hometown
10557,2016-10-19,PowerLine,On “Accepting Election Results”
10558,2016-10-19,PowerLine,Media Alert
10559,2016-10-19,PowerLine,Hillary Clinton Is a Nobody
10560,2016-10-19,PowerLine,Reminder: Washington Hates America
10561,2016-10-19,PowerLine,"The Power Line Show, Ep. 43: All About the Election, With Senator Ron Johnson"
11065,2016-10-22,PowerLine,Corrections of the day
11066,2016-10-22,PowerLine,What is to be done?
11067,2016-10-22,PowerLine,Biden talks tough
11068,2016-10-22,PowerLine,The Week in Pictures: Rigged! Edition
11069,2016-10-22,PowerLine,Clinton Foundation employed senior Muslim Brotherhood official
11113,2016-10-22,Politico Magazine,The Trouble With Peak Trump
11114,2016-10-22,Politico Magazine,Penetrating the Police Brotherhood
11115,2016-10-22,Politico Magazine,What Happens if Trump Keeps Us ‘in Suspense’ on Election Night?
11117,2016-10-22,Politico Magazine,How Tech Helped Winston-Salem Quit Tobacco
11118,2016-10-22,Politico Magazine,Millennials in Florida: ‘We Can’t Have a Godfather President’
11119,2016-10-22,Politico Magazine,Debate Night With the Unswayables
11120,2016-10-22,Politico Magazine,‘The Election Ended Wednesday Night’
11121,2016-10-22,Politico Magazine,What Politicians Are Missing About Obamacare
11375,2016-10-23,PowerLine,South Dakota: A Beacon to the Nation
11376,2016-10-23,PowerLine,The Russian connection (?)
11377,2016-10-23,PowerLine,(c) is for Cartwright
11378,2016-10-23,PowerLine,Stalin? Whodat???
11379,2016-10-23,PowerLine,Philippine tilt towards China is latest fruit of Obama’s foreign policy
11387,2016-10-23,Politico Magazine,"In the Land of Raw Firepower, a Feeling That Trump Is Out of Ammo"
11388,2016-10-23,Politico Magazine,"Yes, American Democracy Could Break Down"
11389,2016-10-23,Politico Magazine,‘They Don’t Have Anywhere Else to Go’
11390,2016-10-23,Politico Magazine,Kentucky's Second Amendment Paradise
11514,2016-10-23,PowerLine,A New Climategate Scandal?
11515,2016-10-23,PowerLine,What Is to Be Done? Trump Has Some Ideas
11645,2016-10-23,PowerLine,Liberal Jews teach their kids to deal with anti-Semitism on liberal campuses
11646,2016-10-23,PowerLine,Cosmopolitan Environmentalism?
11664,2016-10-24,PowerLine,"Shoeless Joe, Sudden Sam, and Rapid Robert: All-time best Cleveland Indians"
11739,2016-10-24,PowerLine,The key to cybersecurity
11740,2016-10-24,PowerLine,Justice Thomas speaks
11838,2016-10-24,PowerLine,Hillary Clinton: Architect of disaster
11944,2016-10-24,PowerLine,"Academic Absurdity of the Week: Alan Sokal, Call Your Office"
11945,2016-10-24,PowerLine,What Happened to the FBI’s Integrity?
11946,2016-10-24,PowerLine,"Tom Hayden, RIP"
12148,2016-10-24,Politico Magazine,"Mayors to Trump: Enough With the Hellhole Talk, Already"
12155,2016-10-24,PowerLine,Donald Ducks: The Clinton connection
12156,2016-10-24,PowerLine,Who poisoned Hillary’s well?  Hillary did
12157,2016-10-24,PowerLine,The Best Political Ad of 2016?
12238,2016-10-25,Politico Magazine,"Tom Hayden, the Complicated Radical"
12239,2016-10-25,Politico Magazine,"In North Carolina, Moderates Have Their Pitchforks Out"
12240,2016-10-25,Politico Magazine,The Real Voting Problem in the 2016 Election
12245,2016-10-25,PowerLine,"Obamacare in 2017: Much higher premiums, much less choice"
12403,2016-10-25,Politico Magazine,How White Nationalists Learned To Love Donald Trump
12406,2016-10-25,PowerLine,Brazile breaks it down (2)
12407,2016-10-25,PowerLine,Smith reviews Sciolino
12590,2016-10-25,PowerLine,Michael Moore Voting for Trump?
12591,2016-10-25,PowerLine,Sweden: An Argument For Small Government
12592,2016-10-25,PowerLine,"Hillary Is a Drag, Too"
12788,2016-10-26,Politico Magazine,These Are the Only 6 Newspapers in the Country to Endorse Donald Trump
12799,2016-10-26,PowerLine,"Gabby, Ernie, and Hack:  All-time best Chicago Cubs"
12800,2016-10-26,PowerLine,American Roulette
12801,2016-10-26,PowerLine,Kane can do this: 10-23 months
12802,2016-10-26,PowerLine,No Question Now: Obama Lied [Updated]
12803,2016-10-26,PowerLine,Hillary’s Health Back In the Spotlight
13065,2016-10-26,PowerLine,"Meet Ilhan Omar, Daily Beast style"
13066,2016-10-26,PowerLine,The improbable Bobby Vee
13069,2016-10-26,Politico Magazine,What Donald Trump Doesn’t Get About His Own Immigration Story
13070,2016-10-26,Politico Magazine,What Hillary Clinton Doesn’t Get About Her Own Immigration Story
13071,2016-10-26,Politico Magazine,Donald Trump Talks Like a Woman
13229,2016-10-26,PowerLine,"Meet Ilhan Omar, City Pages style"
13375,2016-10-26,PowerLine,Your Guide to a Trigger-Free Halloween
13376,2016-10-26,PowerLine,C.S. Lewis on Politics
13526,2016-10-26,PowerLine,The post-Trump GOP
13618,2016-10-26,PowerLine,Trump’s prospects
13619,2016-10-26,PowerLine,How the Clinton Campaign Plays the Press
13721,2016-10-27,PowerLine,"Clinton corruption, two articles"
13959,2016-10-27,PowerLine,Wishful thinking from the Washington Post
13960,2016-10-27,PowerLine,Lies of Obamacare
13962,2016-10-27,Politico Magazine,Worried About a Rigged Election? Here’s One Way to Handle It
13963,2016-10-27,Politico Magazine,How Trump Is Dividing Jerry Falwell’s University
13964,2016-10-27,Politico Magazine,Trump's For-Profit Campaign
14092,2016-10-27,PowerLine,What Top Democrats Really Thought About Hillary’s Private Server: “F*****g Insane”
14240,2016-10-27,PowerLine,The Stretch Drive (1)
14333,2016-10-27,PowerLine,The intimidation game 101
14334,2016-10-27,PowerLine,"Civil War on the Left, Part 30"
14419,2016-10-28,PowerLine,Study: Google searches favor left-wing content
14420,2016-10-28,PowerLine,About the groping allegations against Justice Thomas [With Comment by John]
14421,2016-10-28,PowerLine,War In Europe? Ho Hum
14609,2016-10-28,PowerLine,The Clinton cash nexus
14610,2016-10-28,PowerLine,Thoughts from the ammo line
14613,2016-10-28,Politico Magazine,‘We Are in for a Pretty Long Civil War’
14778,2016-10-28,PowerLine,Support Brian Mast
14779,2016-10-28,PowerLine,Free Kim Strassel!
15091,2016-10-29,PowerLine,Clinton Campaign’s First Instinct Was to Lie About Comey
15092,2016-10-29,PowerLine,Could Minnesota Voter Fraud Swing the Election to Hillary?
15093,2016-10-29,PowerLine,Trying to understand Comey
15094,2016-10-29,PowerLine,You Knew Someone Had to Do This
15095,2016-10-29,PowerLine,Voter Fraud In Minnesota [Updated]
15118,2016-10-29,Politico Magazine,33 Things This Election Will Decide That Have Nothing to Do With Trump or Clinton
15119,2016-10-29,Politico Magazine,How Louisiana Turned Disaster Into Dollars
15194,2016-10-30,PowerLine,The future of Paul Ryan’s speakership
15333,2016-10-30,PowerLine,The Stretch Drive (3)
15334,2016-10-30,PowerLine,A President Clinton Would Be Out of Control
15335,2016-10-30,PowerLine,Podesta pirouettes
15336,2016-10-30,PowerLine,"He Was Warned, Damn It!"
15337,2016-10-30,PowerLine,The Clinton degradation
15342,2016-10-30,Politico Magazine,How the GOP Can Survive Trump
15343,2016-10-30,Politico Magazine,The Very Political James Comey
15527,2016-10-31,PowerLine,Investigation anxiety at the Washington Post.
15528,2016-10-31,PowerLine,Is Anthony Weiner Behind the Email Crisis?
15529,2016-10-31,PowerLine,How Do Democracies End?
15530,2016-10-31,PowerLine,Why Hillary Can’t Govern
15601,2016-10-31,PowerLine,A strange view of democracy
15728,2016-10-31,PowerLine,“Minnesota man” on 60 minutes
15865,2016-10-31,PowerLine,"Democrats on Comey, then and now"
15870,2016-10-31,PowerLine,The Stretch Drive (4)
15871,2016-10-31,PowerLine,Whom does Putin prefer?
15872,2016-10-31,PowerLine,Acquittal in Oregon
15873,2016-10-31,PowerLine,"Democrats on Comey, historical edition"
16065,2016-10-31,PowerLine,"The Stretch Drive (5), Thiel Edition"
16180,2016-10-31,Politico Magazine,Why I’ll Defend Anyone Trump Sues for Speaking Freely
16181,2016-10-31,Politico Magazine,What Trump’s Tax Returns Could Tell Us About His Dealings with Russia
16182,2016-10-31,Politico Magazine,Memo to the Next President: Avoid the ‘Vision Thing’ in the Mideast
16194,2016-10-31,PowerLine,How Comey looks to a man without integrity
16195,2016-10-31,PowerLine,Hillary Isn’t the Only One Who Changed Her Mind About Comey
16196,2016-10-31,PowerLine,Is This Hillary Tweet Real Or Fake?
16197,2016-10-31,PowerLine,Did DOJ and FBI Blow Off Democratic Senators?
16272,2016-11-01,Politico Magazine,CNN Dumped Donna Brazile. It Should Keep Going.
16287,2016-11-01,PowerLine,Academic Absurdity of the Week: Another Bank Bailout?
16625,2016-11-01,PowerLine,The Stretch Drive (6)
16626,2016-11-01,PowerLine,Asian dominoes in the Age of Obama
16775,2016-11-01,PowerLine,"Buyer’s Remorse, Democrats?"
16776,2016-11-01,PowerLine,Supreme Court takes on the issue of who pees where
16777,2016-11-01,PowerLine,"Halloween, &c. with Ramirez"
16778,2016-11-01,PowerLine,Bums For Hillary
16937,2016-11-01,Politico Magazine,How The Election Could Get Even Crazier on November 9
16938,2016-11-01,Politico Magazine,The GOP’s Breakdown Is Only Just Beginning
17003,2016-11-01,PowerLine,FBI releases documents regarding Clinton pardon of fugitive Dem donor
17004,2016-11-01,PowerLine,Is the Battleground Widening?
17005,2016-11-01,PowerLine,Venezuela to City Dwellers: Grow Your Own!
17066,2016-11-02,PowerLine,Dems and Comey: The Way We Were!
17204,2016-11-02,PowerLine,Imagine there’s no media bias
17355,2016-11-02,PowerLine,High-ranking DOJ official offered “heads up” to Podesta on Clinton emails
17356,2016-11-02,PowerLine,The Stretch Drive (7)
17357,2016-11-02,PowerLine,Marc Rich revisited
17386,2016-11-02,Politico Magazine,An Evangelical Makes Her Case For Clinton
17527,2016-11-02,PowerLine,Could Trump Win Minnesota?
17528,2016-11-02,PowerLine,"Green, uh, Weenie of the Week: Ecosexuality??"
17529,2016-11-02,PowerLine,Top Dem donor compares black Republicans to Nazi collaborators
17530,2016-11-02,PowerLine,Team Clinton plotted to circumvent election laws
17654,2016-11-03,PowerLine,Report: Clinton Foundation investigation a high priority at FBI
17655,2016-11-03,PowerLine,Obamacare: The Last Straw?
